ID,1,2,3,Total,Penalty,TB
1,5,5,5,21,0,15
2,7,7,7,21,0,21
3,5,5,5,21,0,15
4,5,5,5,17,0,15
5,7,7,7,17,0,21
6,5,5,5,17,0,15
7,5,5,5,21,0,15
8,7,7,7,21,0,21
9,5,5,5,21,0,15
