ID,1,2,3,4,5,Total,Penalty,TB
5,0,0,0,0,0,35,0,0
4,0,0,0,0,0,35,0,0
3,0,0,0,0,0,35,0,0
1,1,1,1,1,1,33,0,5
2,0,0,0,0,0,33,0,0
